Order ID,Return request date,ASIN,Merchant SKU,Item Name,Return quantity,Return Reason
111-0253561-0753872,01/21/25,B08KSKY8ML,M&M-Yellow-JUNIORS-Shirt-XL,Mad Engine M&M's Candy Cartoon Character Women's Juniors Halloween Costume T-Shirt Yellow,1,AMZ-PG-APP-TOO-SMALL
113-0265086-0561857,01/21/25,B014LRDGCG,incredhulk013-L,Marvel Incredible Hulk Sublimated Adult Long Sleeve Costume T-Shirt - Large Multi,1,AMZ-PG-APP-TOO-LARGE
111-0235461-9382630,01/21/25,B005Y4I6VW,fearloathingglasses,Costume Agent Fear and Loathing in Las Vegas Hunter S. Thompson Costume Sunglasses - Classic Large Metal Frame Sun Glasses for Adult,1,CR-DEFECTIVE
114-6893048-3217869,01/21/25,B09KMDT424,UFSM2083TV-PULPFICTION-M,Ripple Junction Pulp Fiction Say Merry Xmas Again Ugly Christmas Sweater Red,1,CR-MISSED_ESTIMATED_DELIVERY
112-8480647-3969803,01/21/25,B07GWW8JP8,snlbearsVESTsweater-XL,Costume Agent SNL Da Bears Chicago Adult Vest Sweater - X-Large - Christmas Sweaters Women 2023 - Bears Mens Jersey - Mens Sweater Vests V Neck - Sleeveless Sweaters Men - Men Sleeveless Sweater,1,CR-SWITCHEROO
114-7163492-1893851,01/21/25,B0BKR237D1,SJTS0VNMLO-BartSquisheeHoodie-M,Mad Engine The Simpsons Bart Squishee Drink Pull Over Hoodie Sweatshirt Multicolor,1,AMZ-PG-APP-TOO-SMALL
114-9463820-6090616,01/21/25,B07JQJRJTS,FilthyAnimalLoungePants-XF003-M,Briefly Stated Merry Christmas Pajama Pants For Men and Women,1,AMZ-PG-APP-TOO-LARGE
114-9463820-6090616,01/21/25,B0DM6RF9H2,210563-FilthyAnimalRedPants-XL,Ya Filthy Animal Merry Christmas Adult Sleep Lounge Pants - Festive Unisex Pajama Bottoms with Snowflakes Design Red,1,AMZ-PG-APP-STYLE
111-6203135-1655423,01/21/25,B0CJL4KH1J,PNXX7Q-PeanutsShirt-Boys-M,Peanuts Charlie Brown Zig Zag Yellow Shirt Halloween Costume Cosplay,1,AMZ-PG-APP-TOO-SMALL
113-3984841-3734662,01/21/25,B000HQAXJK,hulk003-XL,"Hulk Hogan ""hulkamania"" Sleeveless T-shirt Gold [Apparel] Size: X-Large",1,CR-UNWANTED_ITEM
113-3984841-3734662,01/21/25,B004XMZZGA,hulk003red-XL,Hulkamania Hulk Hogan Sleeveless Red T-Shirt Tee (Adult X-Large),1,CR-UNWANTED_ITEM
113-7559001-8734664,01/21/25,B01JSFN2Y8,suicidesquad004-S,DC Comics Suicide Squad Harley Quinn Shorts Panties Costume for Women Halloween Cosplay Red/Blue,1,CR-DEFECTIVE
113-2376780-8981810,01/21/25,B0977MDQ33,Inflatable001-HumpReindeer4feet1,"Costume Agent Inflatable Indoor and Outdoor Christmas Decoration (4 feet, Reindeer)",1,CR-ORDERED_WRONG_ITEM
112-8644101-0030664,01/21/25,B0BGMJGPXX,103012-MooseMug-1pack,Costume Agent Vacation Movie Moose Mug Acrylic Christmas Clear Eggnog Mug (1 Pack),1,CR-UNWANTED_ITEM
112-9343479-9809007,01/21/25,B0CHN6S91R,PXES02-YellowstoneBrownShirt-M,Mad Engine Yellowstone Dutton Ranch Button Up Long Sleeve Work Shirt Halloween Costume Cosplay (Medium),1,AMZ-PG-APP-TOO-SMALL
113-1335714-3220253,01/21/25,B01JGPD3MG,metallica003-M,Metallica Logo Blue T-Shirt (Adult Medium),1,CR-DEFECTIVE
114-0138678-7978608,01/21/25,B0B8FZZ59X,ChesterCheetosSuit-M,"Cheetos Men's Chester Cheetah Fleece Costume Union Suit, Sun Orange/White, Medium",1,CR-UNWANTED_ITEM
113-0633098-1911400,01/21/25,B09HY1PY2S,220843-ConeHead-Adult,Costume Agent Cone Bald Head Halloween Conical Alien Skull Egg Head Cosplay (ADULT),1,AMZ-PG-APP-TOO-LARGE
112-8272882-9677010,01/21/25,B0BK228633,267345-GrinchPJPants-2XL,MJC Adult Unisex Grinch All Over Santa Hat Ugly Christmas Pajama Lounge Pants,2,AMZ-PG-APP-TOO-LARGE
